"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.sbt.concurrent.LatencyBenchmark.ConcurrentCounter","thrpt",2,10,"730114029,709463","14250135,558246","ops/s"
"com.sbt.concurrent.LatencyBenchmark.ConcurrentCounter:pingConcurrentCounter","thrpt",2,10,"332428298,796893","8482387,476323","ops/s"
"com.sbt.concurrent.LatencyBenchmark.ConcurrentCounter:pongConcurrentCounter","thrpt",2,10,"397685730,912570","10639140,277743","ops/s"
"com.sbt.concurrent.LatencyBenchmark.LockCounter","thrpt",2,10,"729052830,576477","90715955,463132","ops/s"
"com.sbt.concurrent.LatencyBenchmark.LockCounter:pingLockCounter","thrpt",2,10,"382086852,655054","48674201,985827","ops/s"
"com.sbt.concurrent.LatencyBenchmark.LockCounter:pongLockCounter","thrpt",2,10,"346965977,921423","43390867,328535","ops/s"
"com.sbt.concurrent.LatencyBenchmark.MagicCounter","thrpt",2,10,"751608326,679508","36114732,399631","ops/s"
"com.sbt.concurrent.LatencyBenchmark.MagicCounter:pingMagicCounter","thrpt",2,10,"746447487,959092","37650974,148895","ops/s"
"com.sbt.concurrent.LatencyBenchmark.MagicCounter:pongMagicCounter","thrpt",2,10,"5160838,720415","7271942,718346","ops/s"
"com.sbt.concurrent.LatencyBenchmark.MutexCounter","thrpt",2,10,"616082261,581950","27945842,902381","ops/s"
"com.sbt.concurrent.LatencyBenchmark.MutexCounter:pingMutexCounter","thrpt",2,10,"260150071,822607","21041609,982011","ops/s"
"com.sbt.concurrent.LatencyBenchmark.MutexCounter:pongMutexCounter","thrpt",2,10,"355932189,759343","12944081,689639","ops/s"
