"Benchmark,""Mode"",""Threads"",""Samples"",""Score"",""Score Error (99,9%)"",""Unit"""
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter,""thrpt"",2,10,""131737463,309860"",""20009870,568974"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter,""thrpt"",2,10,""111254605,077579"",""14548976,876428"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter,""thrpt"",2,10,""20482858,232281"",""5803117,711528"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.LockCounter,""thrpt"",2,10,""8248961,962387"",""355927,869292"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter,""thrpt"",2,10,""1512150,754469"",""151830,849561"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter,""thrpt"",2,10,""6736811,207917"",""312484,683885"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.MagicCounter,""thrpt"",2,10,""20727772,806629"",""2004746,061156"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter,""thrpt"",2,10,""1459,936019"",""141,366631"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter,""thrpt"",2,10,""20726312,870611"",""2004605,394632"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.MutexCounter,""thrpt"",2,10,""11373772,028238"",""1993696,794033"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter,""thrpt"",2,10,""6286633,937491"",""1141916,027652"",""ops/s"""
"com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter,""thrpt"",2,10,""5087138,090747"",""940518,808769"",""ops/s"""
