"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter","thrpt",4,10,"79458007,293912","2733836,942939","ops/s"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter","thrpt",4,10,"44165747,144341","2419512,409130","ops/s"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter","thrpt",4,10,"35292260,149571","655372,273713","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter","thrpt",4,10,"19965159,864265","559123,206652","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter","thrpt",4,10,"4528509,702180","139960,003172","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter","thrpt",4,10,"15436650,162085","614037,168792","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter","thrpt",4,10,"41779411,409933","1758814,391440","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter","thrpt",4,10,"12171,114724","213,055067","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter","thrpt",4,10,"41767240,295210","1758880,037966","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter","thrpt",4,10,"23932381,297066","268127,985462","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter","thrpt",4,10,"9919740,610568","314500,363091","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter","thrpt",4,10,"14012640,686498","246406,615623","ops/s"
