Benchmark,Mode,Threads,Samples,Score,Tail0,ScoreError,Tail1,Unit
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter,thrpt,2,10,153083517,018884,7931207,048413,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter,thrpt,2,10,81154356,866811,2086180,268541,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter,thrpt,2,10,71929160,152073,6455846,437746,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter,thrpt,2,10,15652758,053964,1902092,260969,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter,thrpt,2,10,5887899,645807,1217305,906130,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter,thrpt,2,10,9764858,408157,913200,351796,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter,thrpt,2,10,61625805,730689,623261,924212,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter,thrpt,2,10,7816,511784,134,582321,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter,thrpt,2,10,61617989,218905,623129,932068,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter,thrpt,2,10,40583056,662114,1485279,543472,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter,thrpt,2,10,15256523,930181,1685791,445022,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter,thrpt,2,10,25326532,731933,1329272,102272,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter,thrpt,32,10,120049528,822978,28924700,201426,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter,thrpt,32,10,87610346,216351,31323994,261834,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter,thrpt,32,10,32439182,606627,2481346,421663,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter,thrpt,32,10,7299842,907766,615189,987452,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter,thrpt,32,10,6742188,805320,266413,681842,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter,thrpt,32,10,557654,102446,873356,603682,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter,thrpt,32,10,43512540,385758,3052238,373391,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter,thrpt,32,10,8024,880826,4928,318072,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter,thrpt,32,10,43504515,504932,3050301,580608,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter,thrpt,32,10,23543295,335309,343423,717336,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter,thrpt,32,10,9135839,587682,274066,012931,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter,thrpt,32,10,14407455,747627,265981,078986,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter,thrpt,4,10,79458007,293912,2733836,942939,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter,thrpt,4,10,44165747,144341,2419512,409130,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter,thrpt,4,10,35292260,149571,655372,273713,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter,thrpt,4,10,19965159,864265,559123,206652,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter,thrpt,4,10,4528509,702180,139960,003172,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter,thrpt,4,10,15436650,162085,614037,168792,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter,thrpt,4,10,41779411,409933,1758814,391440,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter,thrpt,4,10,12171,114724,213,055067,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter,thrpt,4,10,41767240,295210,1758880,037966,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter,thrpt,4,10,23932381,297066,268127,985462,ops/s
